year,industry1,industry2,industry3,incidence_of_retrenchment
2007,services,transportation and storage,water transport and supporting services,0.7
2007,services,transportation and storage,air transport and supporting services,4.8
2007,services,transportation and storage,other transportation services,2.9
2007,services,accommodation and food services,accommodation,8
2007,services,accommodation and food services,food and beverage services,3
2007,services,information and communications,"telecommunications, broadcasting and publishing",5.6
2007,services,information and communications,it and other information services,6
2007,services,financial and insurance services,financial services,2
2007,services,financial and insurance services,insurance services,0.3
2007,services,real estate services,real estate services,0.2
2007,services,professional services,"legal, accounting and management services",5.9
2007,services,professional services,architectural and engineering services,1.2
2007,services,professional services,other professional services,3.3
2007,services,administrative and support services,security and investigation,-
2007,services,administrative and support services,cleaning and landscaping,1.1
2007,services,administrative and support services,other adminstrative and support services,5.7
2007,services,"community, social and personal services",public administration and education,1
2007,services,"community, social and personal services",health and social services,0.8
2007,services,"community, social and personal services","arts, entertainment and recreation",5.5
2007,services,"community, social and personal services","other community, social and personal services",1.1
2007,others,others,others,1.4
2008,manufacturing,"food, beverages and tobacco","food, beverages and tobacco",3.8
2008,manufacturing,"paper,rubber,plastic products and printing","paper,rubber,plastic products and printing",25.8
2008,manufacturing,"petroleum, chemical and pharmaceutical products","petroleum, chemical and pharmaceutical products",8.4
